"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
2;"SW1";"SW_Push_2P2T_Toggle_CK_PVA2OAH5xxxxxxV2";1;"SW_SPST";;;
3;"Y1";"C_1210_3225Metric";1;"16MHz";;;
4;"U2";"TO-92_Inline";1;"L78L05_TO92";;;
5;"U1";"DIP-28_W7.62mm";1;"ATmega328-P";;;
6;"RV1";"Potentiometer_Piher_PT-6-V_Vertical_Hole";1;"10k";;;
7;"R3";"R_0805_2012Metric";1;"10k";;;
8;"R2";"R_0805_2012Metric";1;"220";;;
9;"R1";"R_0805_2012Metric";1;"200";;;
10;"JP5,JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Open";;;
11;"JP4";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"RESET";;;
12;"JP2";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"9-12v";;;
13;"JP1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"5v";;;
14;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"SPI Connectors";;;
15;"J4";"PinSocket_1x03_P2.54mm_Vertical";1;"Power Connectors";;;
16;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Programming Connectors";;;
17;"J1";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"Barrel_Jack";;;
18;"D1";"LED_0805_2012Metric";1;"LED";;;
19;"C7";"C_0805_2012Metric";1;"100n";;;
20;"C6,C1";"C_0805_2012Metric";2;"22pf";;;
21;"C5,C3,C2";"C_0805_2012Metric";3;"10uF";;;
22;"C4";"C_0805_2012Metric";1;"0.1uF";;;
23;"DS1";"WC1602A";1;"WC1602A";;;
24;"SW3";"SW_Cherry_MX_Plate_1.00u";1;"CONTROL";;;
25;"SW15";"SW_Cherry_MX_Plate_1.00u";1;"6";;;
26;"SW9";"SW_Cherry_MX_Plate_1.00u";1;"8";;;
27;"SW5";"SW_Cherry_MX_Plate_1.00u";1;"4";;;
28;"SW10";"SW_Cherry_MX_Plate_1.00u";1;"5";;;
29;"SW7";"SW_Cherry_MX_Plate_1.00u";1;"ENTER";;;
30;"SW12";"SW_Cherry_MX_Plate_1.00u";1;"0";;;
31;"SW19";"SW_Cherry_MX_Plate_1.00u";1;"MULT";;;
32;"SW13";"SW_Cherry_MX_Plate_1.00u";1;"DEL";;;
33;"SW21";"SW_Cherry_MX_Plate_1.00u";1;"SUB";;;
34;"SW20";"SW_Cherry_MX_Plate_1.00u";1;"DIV";;;
35;"SW8";"SW_Cherry_MX_Plate_1.00u";1;"ALT";;;
36;"SW11";"SW_Cherry_MX_Plate_1.00u";1;"2";;;
37;"SW16";"SW_Cherry_MX_Plate_1.00u";1;"3";;;
38;"SW18";"SW_Cherry_MX_Plate_1.00u";1;"CLR";;;
39;"SW4";"SW_Cherry_MX_Plate_1.00u";1;"7";;;
40;"SW6";"SW_Cherry_MX_Plate_1.00u";1;"1";;;
41;"SW22";"SW_Cherry_MX_Plate_1.00u";1;"ADD";;;
42;"SW17";"SW_Cherry_MX_Plate_1.00u";1;"DOT";;;
43;"SW14";"SW_Cherry_MX_Plate_1.00u";1;"9";;;
