Designator,Mid X,Mid Y,Rotation,Layer
J2,161.798,-82.804,90.0,top
Y1,101.6,-81.28,180.0,top
D1,151.384,-80.5415,90.0,top
C5,94.742,-77.912,-90.0,top
J4,125.247,-67.325,0.0,top
J3,118.085,-79.985,180.0,top
C2,138.049,-85.852,0.0,top
DS1,88.65,-29.7275,0.0,top
SW3,92.075,-98.425,0.0,top
SW15,130.175,-136.525,0.0,top
SW9,111.125,-117.475,0.0,top
SW5,92.075,-136.525,0.0,top
U1,80.02,-74.285,90.0,top
RV1,113.498,-77.51,180.0,top
R3,80.01,-81.026,180.0,top
SW10,111.125,-136.525,0.0,top
SW7,92.075,-174.625,0.0,top
C3,144.526,-80.518,90.0,top
SW12,111.125,-174.625,0.0,top
SW19,149.225,-117.475,0.0,top
SW13,130.175,-98.425,0.0,top
C4,92.6846,-77.9018,-90.0,top
SW21,149.225,-155.575,0.0,top
J1,163.195,-70.47,-90.0,top
SW20,149.225,-136.525,0.0,top
SW8,111.125,-98.425,0.0,top
C7,80.01,-78.994,180.0,top
C6,105.41,-81.28,90.0,top
SW11,111.125,-155.575,0.0,top
J5,121.691,-67.32,0.0,top
SW16,130.175,-155.575,0.0,top
C1,97.79,-81.28,90.0,top
SW18,149.225,-98.425,0.0,top
SW4,92.075,-117.475,0.0,top
SW6,92.075,-155.575,0.0,top
SW1,136.2615,-67.4355,0.0,top
SW22,149.225,-174.625,0.0,top
R1,149.098,-80.5415,90.0,top
SW17,130.175,-174.625,0.0,top
U2,132.694,-82.804,90.0,top
SW14,130.175,-117.475,0.0,top
R2,146.812,-80.5415,90.0,top
